name,bt,cg,ep,ft,is,lu,mg,sp,bt_compact,cg_compact,ep_compact,ft_compact,is_compact,lu_compact,mg_compact,sp_compact,
bt_ft,485.400000,,,152.303333,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
bt_is,487.310000,,,,11.770000,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
bt_lu,484.050000,,,,,237.020000,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
bt_mg,571.400000,,,,,,22.495000,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
bt_sp,,,,,,,,440.650000,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
cg_bt,472.240000,174.440000,,,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
cg_ft,,183.606667,,152.760000,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
cg_is,,189.253333,,,11.577407,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
cg_lu,,178.423333,,,,234.325000,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
cg_mg,,268.270000,,,,,22.623333,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
cg_sp,,269.850000,,,,,,436.190000,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ep_bt,447.470000,,30.412105,,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ep_cg,,154.816667,30.582105,,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ep_ft,,,29.914211,142.926667,,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ep_is,,,29.694737,,10.585000,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ep_lu,,,29.953158,,,227.955000,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ep_mg,,,30.621667,,,,20.348519,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ep_sp,,,31.594444,,,,,401.160000,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ft_is,,,,152.310000,11.910370,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
ft_mg,,,,177.083333,,,23.299565,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
is_mg,,,,,14.983182,,23.193478,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
lu_ft,,,,153.603333,,237.910000,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
lu_is,,,,,11.980000,238.090000,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
lu_mg,,,,,,267.940000,23.342174,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
lu_sp,,,,,,274.585000,,457.970000,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
sp_ft,,,,183.373333,,,,449.800000,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
sp_is,,,,,15.923333,,,448.690000,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
sp_mg,,,,,,,33.635625,588.380000,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11
